name,tenure,owner_club,owner_league,contract_end,loan_club,loan_league,loan_contract_end,position,position_pt,age,nationality,second_nationality,tm_contract_year,contract_option,market_value_eur,tm_link
Morato,permanent,Notthigham Forest,Premier League,2029-06-30,,,,CB,Zagueiro,25,BR,,2029,,14000000,https://www.transfermarkt.com.br/morato/profil/spieler/673492
Andreas Pereira,permanent,Palmeiras,Série A - Brasil,2028-12-31,,,,CM,Meia Central,30,BR,BE,2028,,14000000,https://www.transfermarkt.com.br/andreas-pereira/profil/spieler/203394
Christian,permanent,Krasnodar,Premier Liga (RU),2030-06-30,,,,RW,Meia Direita,25,BR,,2030,,12000000,https://www.transfermarkt.com.br/christian/profil/spieler/658678
Joaquín Piquerez,permanent,Palmeiras,Série A - Brasil,2030-12-31,,,,LB,Lateral Esq.,27,UY,IT,2030,,12000000,https://www.transfermarkt.com.br/joaquin-piquerez/profil/spieler/496268
Souza,permanent,Tottenham,Premier League,2031-06-30,,,,LB,Lateral Esq.,20,BR,,2031,,12000000,https://www.transfermarkt.com.br/souza/profil/spieler/1086258
Gabriel Brazão,permanent,Santos FC,Série A - Brasil,2028-12-31,,,,GK,Goleiro,25,BR,,2028,,12000000,https://www.transfermarkt.com.br/gabriel-brazao/profil/spieler/371247
Caio Henrique,permanent,Ajax,Eredivisie,2030-06-30,,,,LB,Lateral Esq.,29,BR,ES,2030,,12000000,https://www.transfermarkt.com.br/caio-henrique/profil/spieler/420064
Luca Meirelles,permanent,Shakhtar,Premier Liga (UA),2030-06-30,,,,CF,Centroavante,19,BR,,2030,,10000000,https://www.transfermarkt.com.br/luca-meirelles/profil/spieler/1220143
Facundo Torres,permanent,Austin,MLS,2030-06-30,,,,RW,Ponta Direita,26,UY,,2030,opção do clube 1 ano,10000000,https://www.transfermarkt.com.br/facundo-torres/profil/spieler/465822
Cuiabano,loan,Vasco,Série A - Brasil,2029-06-30,Nottingham Forest,Premier League,2029-06-30,LB,Lateral Esq.,23,BR,,2026,opção de compra,10000000,https://www.transfermarkt.com.br/cuiabano/profil/spieler/891353
Pedrinho,permanent,Shakhtar,Premier Liga (UA),2029-06-30,,,,RW,Ponta Direita,28,BR,,2029,,10000000,https://www.transfermarkt.com.br/pedrinho/profil/spieler/515208
Robert Renan,loan,Vasco,Série A - Brasil,2026-12-31,Zenit,Premier Liga (RU),2028-06-30,CB,Zagueiro,22,BR,,2026,,10000000,https://www.transfermarkt.com.br/robert-renan/profil/spieler/958598
Emerson,permanent,Olympique de Marselha,Ligue 1,2027-06-30,,,,LB,Lateral Esq.,32,BR,IT,2027,opção do clube 1 ano,9000000,https://www.transfermarkt.com.br/emerson/profil/spieler/181778
John Kennedy,permanent,Fluminense,Série A - Brasil,2027-12-31,,,,CF,Centroavante,24,BR,,2027,,9000000,https://www.transfermarkt.com.br/john-kennedy/profil/spieler/856085
Matheuzinho,permanent,Corinthians,Série A - Brasil,2028-12-31,,,,RB,Lateral Dir.,25,BR,,2028,,8000000,https://www.transfermarkt.com.br/matheuzinho/profil/spieler/594226
Ricardo Mathias,permanent,Al-Ahli,Saudi Pro League,2030-06-30,,,,CF,Centroavante,20,BR,,2030,,7500000,https://www.transfermarkt.com.br/ricardo-mathias/profil/spieler/1044132
Vini Souza,permanent,VfL Wolfsburg,2. Bundesliga,2030-06-30,,,,DM,Volante,27,BR,,2030,,7000000,https://www.transfermarkt.com.br/vini-souza/profil/spieler/663581
Matheus Bidu,permanent,Corinthians,Série A - Brasil,2027-12-31,,,,LB,Lateral Esq.,27,BR,,2027,,7000000,https://www.transfermarkt.com.br/matheus-bidu/profil/spieler/670021
Newerton,permanent,Shakhtar,Premier Liga (UA),2028-06-30,,,,LW,Ponta Esquerda,21,BR,,2028,,7000000,https://www.transfermarkt.com.br/newerton/profil/spieler/1082823
Gabriel Silva,permanent,Braga,Liga Portugal,2031-06-30,,,,LW,Meia Esquerda,24,BR,,2031,,7000000,https://www.transfermarkt.com.br/gabriel-silva/profil/spieler/627224
Everton,permanent,Flamengo,Série A - Brasil,2026-12-31,,,,LW,Ponta Esquerda,30,BR,,2026,,7000000,https://www.transfermarkt.com.br/everton/profil/spieler/321239
Carlos Miguel,permanent,Palmeiras,Série A - Brasil,2030-07-31,,,,GK,Goleiro,27,BR,,2030,,7000000,https://www.transfermarkt.com.br/carlos-miguel/profil/spieler/641458
Helinho,permanent,Toluca,Liga MX,2028-06-30,,,,RW,Ponta Direita,26,BR,,2028,,6500000,https://www.transfermarkt.com.br/helinho/profil/spieler/412365
Rodriguinho,permanent,Bragantino,Série A - Brasil,2030-12-31,,,,AM,Meia Ofensivo,22,BR,,2030,,6000000,https://www.transfermarkt.com.br/rodriguinho/profil/spieler/743593
Khellven,permanent,Palmeiras,Série A - Brasil,2030-06-30,,,,RB,Lateral Dir.,25,BR,,2030,,6000000,https://www.transfermarkt.com.br/khellven/profil/spieler/653348
Matheus Alves,permanent,CSKA Moscou,Premier Liga (RU),2030-06-30,,,,AM,Meia Ofensivo,21,BR,,2030,,6000000,https://www.transfermarkt.com.br/matheus-alves/profil/spieler/1127813
Alexsander,permanent,Atlético Mineiro,Série A - Brasil,2029-12-31,,,,DM,Volante,22,BR,,2029,,5500000,https://www.transfermarkt.com.br/alexsander/profil/spieler/997714
Lucas Fasson,permanent,Lokomotiv Moscou,Premier Liga (RU),2030-06-30,,,,CB,Zagueiro,25,BR,IT,2030,,5000000,https://www.transfermarkt.com.br/lucas-fasson/profil/spieler/729266
Diego Carlos,permanent,Fenerbahce,Süper Lig,2028-06-30,,,,CB,Zagueiro,33,BR,ES,2028,,5000000,https://www.transfermarkt.com.br/diego-carlos/profil/spieler/329145
John Victor,permanent,Notthigham Forest,Premier League,2028-06-30,,,,GK,Goleiro,30,BR,PT,2028,,5000000,https://www.transfermarkt.com.br/john-victor/profil/spieler/432914
Gustavo Martins,permanent,Grêmio,Série A - Brasil,2027-12-31,,,,CB,Zagueiro,24,BR,,2027,,4000000,https://www.transfermarkt.com.br/gustavo-martins/profil/spieler/874223
Thalys,permanent,UD Almeria,LaLiga2,2031-06-30,,,,CF,Centroavante,21,BR,,2031,,4000000,https://www.transfermarkt.com.br/thalys/profil/spieler/1072157
JP Chermont,permanent,Coritiba,Série A - Brasil,2026-12-31,,,,RB,Lateral Dir.,20,BR,,2026,,4000000,https://www.transfermarkt.com.br/jp-chermont/profil/spieler/1089955
Luis Benedetti,permanent,Palmeiras,Série A - Brasil,2029-12-31,,,,CB,Zagueiro,20,BR,,2029,,4000000,https://www.transfermarkt.com.br/luis-benedetti/profil/spieler/1253807
Dell,permanent,Bahia,Série A - Brasil,2028-12-31,,,,CF,Centroavante,18,BR,,2028,,4000000,https://www.transfermarkt.com.br/dell/profil/spieler/1328021
Vinicius Lira,permanent,Santos FC,Série A - Brasil,2027-03-31,,,,LB,Lateral Esq.,18,BR,,2027,,4000000,https://www.transfermarkt.com.br/vinicius-lira/profil/spieler/1253844
Brenner,permanent,Vasco,Série A - Brasil,2029-12-31,,,,CF,Centroavante,26,BR,,2029,,4000000,https://www.transfermarkt.com.br/brenner/profil/spieler/412366
Dieguinho,permanent,Corinthians,Série A - Brasil,2029-12-31,,,,RW,Ponta Direita,18,BR,,2029,,4000000,https://www.transfermarkt.com.br/dieguinho/profil/spieler/1257132
Henrique Carmo,permanent,CSKA Moscou,Premier Liga (RU),2030-06-30,,,,RW,Ponta Direita,19,BR,,2030,,3500000,https://www.transfermarkt.com.br/henrique-carmo/profil/spieler/1009031
Deivid Washington,permanent,Chelsea,Premier League,2030-06-30,,,,CF,Centroavante,21,BR,,2030,opção do clube 1 ano,3000000,https://www.transfermarkt.com.br/deivid-washington/profil/spieler/1082850
Luis Otávio,permanent,Orlando City,MLS,2028-06-30,,,,DM,Volante,19,BR,,2028,opção do clube 1 ano,3000000,https://www.transfermarkt.com.br/luis-otavio/profil/spieler/1253921
Alerrandro,loan,Internacional,Série A - Brasil,2026-12-31,CSKA Moscou,Premier Liga (RU),2027-12-31,CF,Centroavante,26,BR,,2026,,3000000,https://www.transfermarkt.com.br/alerrandro/profil/spieler/371996
Igor Gomes (AM),permanent,Atlético Mineiro,Série A - Brasil,2026-12-31,,,,AM,Meia Ofensivo,27,BR,,2026,,2500000,https://www.transfermarkt.com.br/igor-gomes/profil/spieler/553459
Thiago Maia,permanent,Internacional,Série A - Brasil,2026-12-31,,,,DM,Volante,29,BR,,2026,,2500000,https://www.transfermarkt.com.br/thiago-maia/profil/spieler/294873
Allan,permanent,Corinthians,Série A - Brasil,2026-12-31,,,,DM,Volante,29,BR,,2026,,2500000,https://www.transfermarkt.com.br/allan/profil/spieler/385271
Reinier,permanent,Atlético Mineiro,Série A - Brasil,2029-12-31,,,,AM,Meia Ofensivo,24,BR,,2029,,2000000,https://www.transfermarkt.com.br/reinier/profil/spieler/627226
Lima,loan,América,Liga MX,2026-12-31,Fluminense,Série A - Brasil,2027-12-31,AM,Meia Ofensivo,30,BR,,2026,opção de compra,2000000,https://www.transfermarkt.com.br/lima/profil/spieler/387611
Gabriel Pirani,permanent,San Diego,MLS,2026-12-31,,,,AM,Meia Ofensivo,24,BR,,2026,,1500000,https://www.transfermarkt.com.br/gabriel-pirani/profil/spieler/813107
Patrick,permanent,Atlético Mineiro,Série A - Brasil,2028-12-31,,,,DM,Volante,22,BR,,2028,opção do clube 1 ano,1500000,https://www.transfermarkt.com.br/patrick/profil/spieler/1082625
David Ruíz,permanent,Miami FC,MLS,2028-12-31,,,,DM,Volante,22,HN,US,2028,opção do clube 1 ano,1500000,https://www.transfermarkt.com.br/david-ruiz/profil/spieler/914681
Igor Gomes (CB),permanent,Shabab Al-Ahli,UAE Pro League,,,,,CB,Zagueiro,25,BR,AE,,,1500000,https://www.transfermarkt.com.br/igor-gomes/profil/spieler/689640
Kaiky,permanent,Shabab Al-Ahli,UAE Pro League,,,,,CB,Zagueiro,22,BR,,,,1500000,https://www.transfermarkt.com.br/kaiky/profil/spieler/743589
Gabriel Vareta,permanent,Al-Wasl,UAE Pro League,,,,,CB,Zagueiro,21,BR,,,,1200000,https://www.transfermarkt.com.br/gabriel-vareta/profil/spieler/1115721
Raul,loan,Cuiabá,Série B - Brasil,2026-12-31,Athletico Paranaense,Série A - Brasil,2027-12-31,DM,Volante,30,BR,,2026,,1000000,https://www.transfermarkt.com.br/raul/profil/spieler/479587
Derrick Luckassen,permanent,Estrela Vermelha,Super liga Srbije,2029-06-30,,,,CB,Zagueiro,31,NL,,2029,,1000000,https://www.transfermarkt.com.br/derrick-luckassen/profil/spieler/241457
Neto,free_agent,,,,,,,GK,Goleiro,37,BR,IT,,,900000,https://www.transfermarkt.com.br/neto/profil/spieler/111819
Sandry,loan,Criciuma,Série B - Brasil,2026-12-31,Santos FC,Série A - Brasil,2026-12-31,DM,Volante,23,BR,,2026,,900000,https://www.transfermarkt.com.br/sandry/profil/spieler/574768
Rafael Lobato,permanent,Rio Ave,Liga Portugal,2029-06-30,,,,RW,Ponta Direita,20,BR,,2029,,800000,https://www.transfermarkt.com.br/rafael-lobato/profil/spieler/1097263
Cleiton,permanent,VfL Wolfsburg,2. Bundesliga,2030-06-30,,,,CB,Zagueiro,23,BR,,2030,,800000,https://www.transfermarkt.com.br/cleiton/profil/spieler/943237
Filipe Bordon,permanent,Lazio,Série A - Italia,2028-06-30,,,,CB,Zagueiro,21,BR,IT,2028,,750000,https://www.transfermarkt.com.br/filipe-bordon/profil/spieler/1110645
Pedro Cobra,permanent,Atlético Mineiro,Série A - Brasil,2030-12-31,,,,GK,Goleiro,20,BR,,2030,,600000,https://www.transfermarkt.com.br/pedro-cobra/profil/spieler/1193865
Luisão,loan,Goiás,Série B - Brasil,2026-12-31,Santos FC,Série A - Brasil,2028-12-31,CB,Zagueiro,22,BR,,2026,,500000,https://www.transfermarkt.com.br/luisao/profil/spieler/1093922
Ian Luccas,permanent,Alverca,Liga Portugal,2030-06-30,,,,DM,Volante,23,BR,,2030,,500000,https://www.transfermarkt.com.br/ian-luccas/profil/spieler/796796
Léo Mana,permanent,Corinthians,Série A - Brasil,2029-12-31,,,,RB,Lateral Dir.,22,BR,,2029,,500000,https://www.transfermarkt.com.br/leo-mana/profil/spieler/838387
Lincoln,permanent,Spartak Praga,Prva liga Srbije,2027-12-31,,,,CF,Centroavante,25,BR,,2027,,400000,https://www.transfermarkt.com.br/lincoln/profil/spieler/372046
Marcelo Pitaluga,permanent,Fluminense,Série A - Brasil,2028-12-31,,,,GK,Goleiro,23,BR,DE,2028,,200000,https://www.transfermarkt.com.br/marcelo-pitaluga/profil/spieler/662334
David Luiz,permanent,PAFOS,Cyprus League,2027-05-31,,,,CB,Zagueiro,39,BR,,2027,mais um ano,175000,https://www.transfermarkt.com.br/david-luiz/profil/spieler/46741
Lyncon,permanent,CRB,Série B - Brasil,2026-11-30,,,,CB,Zagueiro,21,BR,,2026,,100000,https://www.transfermarkt.com.br/lyncon/profil/spieler/1083889
Filipe,permanent,Bragantino,Série A - Brasil,2027-12-31,,,,LW,Ponta Esquerda,20,BR,,2027,,,https://www.transfermarkt.com.br/filipe/profil/spieler/1091994
David Martins,permanent,Bahia,Série A - Brasil,,,,,AM,Meia Ofensivo,18,BR,,,,,https://www.transfermarkt.com.br/david-martins/profil/spieler/1255012
João Pedro,permanent,Santos FC,Série A - Brasil,2027-04-30,,,,GK,Goleiro,18,BR,,2027,,,https://www.transfermarkt.com.br/joao-pedro/profil/spieler/1264076
Kayke Ayrton,permanent,Athletico Paranaense,Série A - Brasil,,,,,RW,Ponta Direita,18,BR,,,,,https://www.transfermarkt.com.br/kayke-ayrton/profil/spieler/1273513
Luis Eduardo,permanent,Grêmio,Série A - Brasil,2028-05-31,,,,CB,Zagueiro,18,BR,,2028,,,https://www.transfermarkt.com.br/luis-eduardo/profil/spieler/1355268
Italo,permanent,Athletico Paranaense,Série A - Brasil,,,,,AM,Meia Ofensivo,18,BR,,,,,https://www.transfermarkt.com.br/italo/profil/spieler/1362389
Nicolas,permanent,São Paulo,Série A - Brasil,2029-12-31,,,,LB,Lateral Esq.,19,BR,CH,2029,,,https://www.transfermarkt.com.br/nicolas/profil/spieler/1387007
Gustavo Zabarelli,permanent,São Paulo,Série A - Brasil,,,,,SS,Seg. Atacante,17,BR,,,,,https://www.transfermarkt.com.br/gustavo-zabarelli/profil/spieler/1560617
